# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,
# Sat Oct  4 03:30:19 2025,,,,,,,,,,,
#,,,,,,,,,,,
# User ID:         navidajayaweera2006,,,,,,,,,,,
#,,,,,,,,,,,
# User preference: archive defaults*,,,,,,,,,,,
#,,,,,,,,,,,
# COLUMN tid:            TESS Input Catalog ID,,,,,,,,,,,
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC),,,,,,,,,,,
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD],,,,,,,,,,,
# COLUMN pl_orbper:      Planet Orbital Period Value [days],,,,,,,,,,,
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours],,,,,,,,,,,
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm],,,,,,,,,,,
# COLUMN pl_insol:       Planet Insolation Value [Earth flux],,,,,,,,,,,
# COLUMN st_tmag:        TESS Magnitude,,,,,,,,,,,
# COLUMN st_dist:        Stellar Distance [pc],,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature Value [K],,,,,,,,,,,
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2],,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius Value [R_Sun],,,,,,,,,,,
#,,,,,,,,,,,
tid,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_insol,st_tmag,st_dist,st_teff,st_logg,st_rad
267489265,FP,2460351.8,1.5502952,2.938,411,10796.6,9.2293,286.668,7851,4.17,1.86
69997672,FP,2458684.235,1.80709,3.297,450,7233.01,9.11458,233.369,6244,3.84,2.2
122220263,FP,2460333.438,18.6922101,7.765,11126,282.175,9.03609,170.732,6277,4.09,1.65
154872375,CP,2460658.974,8.0277326,4.284,5705,248.619,9.02855,114.048,5962.7,4.38,1.15
142276270,CP,2459612.448,12.5187279,5.38,2320,626.362,8.9361,84.5362,5729,4.47,0.98
142276270,CP,2460366.027,6.2586065,3.201,813,232.392,8.9361,84.5362,5729,4.47,0.98
142276270,CP,2459594.183,26.3208756,4.414,800,26.4328,8.9361,84.5362,5729,4.47,0.98
142276270,CP,2458697.756,18.795547,4.3425576,470.6731965,48.477077,8.9361,84.5362,5729,4.47,0.977727
89389197,PC,2459770.241,1.3206356,1.6000996,1052.4256,3652.258249,9.00558,419.435,4919.6,,6.3070302
110428269,FP,2458684.205,0.64971,2.076,620,83182,8.90601,395.12,9994,4.02,2.59
202563254,PC,2460549.446,4.4780798,4.513,1054,31621.7,8.86193,238.726,7947,4.2,1.83
25155310,KP,2458327.52,3.2887898,3.4367717,7005.72479,759.3373533,10.6103,216.526,5800,4.28004,1.24175
320525204,FP,2460637.862,13.7431084,2.285,5688,84.3234,8.88797,121.182,5941.5,,1.34
159510109,FP,2460289.874,16.9487087,4.2887767,156467.548,78.263287,8.8523,97.3391,5894.7,4.37,1.1179
284450803,FP,2460335.938,3.3686634,3.012,3288,9856.24,8.64028,299.294,7518,3.82,2.68
160268701,FP,2460352.734,11.2071839,4.366,3276,813.063,8.63287,191.984,6152,3.84,2.24
28230919,KP,2460554.347,4.8878037,2.184,4279,71.6805,8.5077,37.7647,4757.3,4.56,0.76
350995812,FP,2458685.816,2.97164,1.534,7350,3089.18,8.5011,438.395,8562.5,,
21755546,FP,2459420.415,0.660179,1.6349369,473.0939303,252487.7639,8.40386,411.307,8598.7,4.1,2.62432
288391628,FP,2460331.316,10.9278415,2.468,2743,270.142,8.36544,218.258,6259,3.59,2.92
349827430,KP,2460361.367,5.5514888,4.335,9493,802.858,7.9179,96.5173,6403.9,4.16,1.55
117789567,APC,2459770.331,2.3202418,2.3817612,5082.941706,22262.05136,7.9172,632.553,8737.5,,
281541555,KP,2458329.903,4.7423709,2.4988145,12650.81104,209.7699043,13.0417,453.808,5377,4.42476,0.877585
16740101,KP,2458683.458,1.4810903,4.1588291,6788.514539,33326.73049,7.58204,204.455,9435,4.11,2.28773
69679391,KP,2460337.986,3.4741012,3.317,15748,3453.07,7.55216,136.426,8894.8,4.38,1.62
237184773,FA,2459392.715,6.5011911,5.5463587,4501.345406,214.9638584,8.0348,105.334,5485,,
154840461,APC,2460472.256,6.0360758,1.255,987,464.097,8.40534,147.134,6528.3,4.21,1.69
459970307,PC,2460339.329,21.745537,4.196,659,28.2504,9.3188,93.8819,5704,4.51,0.93
161450762,FP,2458683.926,1.32003,3.175,552.468,,9.711,,,,
117256577,FP,2459443.85,1.6865822,2.429,1770,,9.7032,6079.49,,,
147576037,FP,2459603.766,13.0727479,3.044,4080,221.343,9.6043,432.113,5709.8,3.37,3.59
379931600,FP,2459446.176,2.9258727,4.075,6720,3028.51,9.5967,,4884.5,,1.3
48188920,FP,2458683.947,0.73774,0.636,524.852,,9.5937,292.83,6449.5,3.94,2.1
238176110,KP,2458326.689,2.7985802,2.3801043,16708.7152,332.556249,11.0443,149.942,4920,4.49371,0.906655
89510024,FP,2459446.147,2.3664127,2.591,300,,9.577,2320.13,,,
158324245,KP,2460556.484,1.7635881,3.092,6650,7685.79,10.2306,519.096,7986.1,,
13419950,PC,2460544.816,7.3166682,3.255,3210,1221.82,9.65306,348.481,8730,,
375542276,PC,2459441.801,3.0771612,2.6914319,4703.284435,2636.865442,9.47751,148.342,9311.3,,
16102323,FP,2459822.313,3.2077145,2.708,9640,,9.329701,827.868,,,
458478250,KP,2460352.823,2.2552845,2.05,20820,549.715,9.76703,126.261,5787,4.5,0.96
138361973,FP,2460556.103,1.8824539,2.46,1391,15173.2,9.7604,153.743,5900.4,4.39,1.13
232967666,FP,2458689.116,15.196,1.792,1970,,10.3874,209.618,5807,,1.14
41330864,FP,2460363.632,2.1358631,1.559,10325,1540.95,10.381,274.162,5969,4.17,1.5
302518439,PC,2460323.761,6.7075429,2.125,11920,225.822,10.6405,259,6134.3,,1.24
322307342,KP,2459063.656,3.5862962,3.3710943,5729.324686,1787.595594,11.7806,603.955,5704.8,3.84,2.00441
294176967,FP,2460556.995,1.8296155,2.166,1406,32867,10.349,880.107,7875,3.61,3.5
101929303,FP,2460541.381,11.1876137,3.183,4924,838.609,10.3075,482.763,7266,4.06,2.05
1717732429,FP,2460634.946,7.8513949,6.835,22029,,10.3018,875.061,,,
232967440,CP,2460341.784,7.0643978,2.424,8268,104.311,10.2938,132.353,5429.6,4.44,0.96
154089169,CP,2460355.403,8.9534775,2.696,1136,45.5604,10.2549,94.6375,5029.5,4.61,0.76
30329585,FP,2459437.549,7.5022708,2.605,1760,129.866,10.2026,216.517,6229,4.31,1.27
230088370,PC,2458695.362,14.0077666,5.8727493,5924.834967,264.4796635,10.1772,295.561,6557.7,4.18,1.57435
169177766,FP,2460556.672,1.692892,2.886,1418,187927,10.1617,602.899,9121.5,4.21,2.1
359496368,FP,2460646.784,2.6652007,3.49,819,2905.35,10.1358,36.7224,4043.4,4.69,0.56
148914726,APC,2460365.037,1.2615323,1.039,2841,1437.18,10.1313,86.444,4927.9,4.57,0.78
266980320,CP,2460175.749,6.0344667,1.89,1800,64.2648,9.179,94.1719,5586,4.36763,1.05
158002130,CP,2460473.411,9.6867516,2.512,1669,41.6645,10.112,72.0238,4738.1,4.59,0.73
229510866,CP,2460556.242,2.1031647,5.059,7142,14140,10.079,302.819,6122,3.93,1.93
341544930,FP,2460386.222,7.6416041,2.654,6025,478.683,10.0049,,6496.7,,2.05
258777137,FP,2460654.566,5.9294088,2.933,10226,456.893,9.9478,112.868,5095.6,,1.06
233087860,CP,2460558.35,5.7484439,1.76,1041,75.272,9.9469,58.5946,4534,4.61,0.69
